full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,sub_area,area_m,green_zone_part,indust_part,preschool,school,healthcare,shopping,office,radiation,detention,young,work,elder,0_6_age,7_14_age,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,mkad_km,kremlin_km,green_part_1000,prom_part_1000,office_count_1000,trc_count_1000,leisure_count_1000,price_doc
37,19.0,7.0,16.0,panel,1979.0,1.0,8.0,Otradnoe,10053051.74,0.09627019699999999,0.300322518,4,4,1,9,6,yes,no,21400,112133,41985,9753,10311,2.034517216,1.344233884,16.13080661,1.344233884,5.437987854,11.32180718,7.5,46.01,3,5,0,6400000
74,50.0,7.0,10.0,brick,1952.0,3.0,7.0,Danilovskoe,12495435.25,0.027650987999999998,0.341071945,5,9,3,11,48,no,no,12370,54478,24252,5947,5664,1.730361751,0.670267116,5.7334333420000005,0.47778611200000004,10.58752837,5.0746793530000005,3.58,7.34,8,5,1,13500000
114,77.0,6.0,8.0,brick,1943.0,4.0,16.0,Begovoe,4048456.7819999997,0.001879375,0.327018035,3,5,1,0,23,no,no,4842,25933,10729,2263,2270,2.024932075,1.414237498,16.129191199999998,1.3440992669999998,12.34466814,3.651114972,1.32,12.41,40,2,1,24000000
34,16.0,10.0,22.0,panel,1987.0,1.0,10.0,Zjablikovo,4602089.659,0.11415706099999999,0.0,4,5,0,5,0,no,yes,18221,82231,29777,8450,8647,0.41967871799999995,0.207731799,2.492781593,0.207731799,2.008591277,16.09480918,6.22,0.0,0,4,0,5600000
62,37.0,5.0,5.0,brick,1961.0,2.0,8.0,Rostokino,3497818.591,0.146940785,0.210473241,1,2,3,0,2,no,no,5074,22837,9591,2334,2398,3.398374477,1.976690471,23.72028565,1.976690471,7.1266790460000005,8.761596138,17.78,7.78,2,0,2,8700000
32,18.0,2.0,9.0,panel,1975.0,1.0,5.0,Chertanovo Central'noe,6879019.637999999,0.061476659,0.282797669,5,5,0,6,2,no,no,16719,68254,27248,7104,8667,2.7740155619999998,1.8787616480000002,22.41883456,1.868236214,3.290268948,15.35002405,39.26,0.0,0,0,0,4900000
121,61.0,14.0,15.0,mass concrete plus brick,2012.0,3.0,17.0,Birjulevo Vostochnoe,14795571.25,0.308056827,0.050900058,6,6,2,3,1,yes,no,21130,93008,30950,9223,10621,5.294947114,3.41254243,34.47828592,2.873190493,3.555078294,16.22565048,7.26,26.25,0,0,0,9007500
76,36.0,11.0,14.0,brick,1975.0,2.0,12.0,Kuncevo,52351766.54,0.070662054,0.035145267,7,8,0,3,3,yes,no,19784,85551,37127,9347,9292,2.374974071,1.283163166,15.25133961,1.270944968,3.884310975,10.98851242,34.59,0.0,1,0,0,17800000
45,28.0,3.0,5.0,brick,1960.0,2.0,5.0,Ochakovo-Matveevskoe,17526506.21,0.133372781,0.309479124,2,3,0,6,4,no,no,16098,78670,24075,7454,7715,0.9199013840000001,0.56624109,6.794893085,0.56624109,1.53457389,13.17833128,15.4,9.76,2,1,0,6700000
34,18.0,3.0,16.0,panel,1984.0,1.0,9.0,Nagornoe,5293464.965,0.023464016,0.195781053,4,8,3,2,6,no,no,10600,49882,17396,4713,5212,1.66520996,1.128645695,13.4705606,1.122546716,10.13335522,8.844015976,6.33,32.02,8,5,1,6340000
42,27.0,4.0,9.0,panel,1961.0,2.0,4.0,Akademicheskoe,5704502.19,0.043127100999999994,0.151346216,6,6,4,1,10,yes,no,12074,68518,25853,5506,5889,1.7132091740000002,1.03507156,12.42085872,1.03507156,9.643339854,6.739183281,5.81,13.36,5,1,0,6900000
92,64.0,2.0,5.0,brick,1955.0,4.0,9.0,Izmajlovo,15045565.2,0.637398943,0.006076152,4,6,6,6,0,yes,no,10988,65499,26341,4992,5285,1.055542906,0.735992687,8.831912242000001,0.735992687,2.964444955,11.61114658,32.65,0.0,1,2,0,14800000
78,44.0,4.0,12.0,brick,2001.0,2.0,9.0,Jakimanka,4800968.266,0.294717517,0.0,1,1,1,5,39,no,no,3639,16642,6297,1792,1660,1.002024643,0.577962553,6.935550639,0.577962553,13.00626147,2.973148405,8.73,0.0,22,2,3,24000000
73,44.0,14.0,17.0,panel,1985.0,3.0,10.0,Ramenki,18800000.1,0.16962541899999997,0.019508796000000002,8,8,5,5,11,yes,no,16928,79011,29172,8371,7687,2.192662914,1.271852026,15.26222431,1.271852026,4.874054035,9.825771036,29.04,0.0,0,2,0,15950000
74,34.0,14.0,17.0,panel,2005.0,2.0,14.0,Mar'ino,11754772.16,0.188712765,0.090799103,13,14,5,15,2,no,yes,40692,161290,45487,19223,19083,3.489883152,2.669715975,30.55083522,2.545902935,5.499868649,12.57317032,12.34,26.64,1,2,0,12200000
45,27.0,1.0,9.0,panel,1968.0,2.0,6.0,Ochakovo-Matveevskoe,17526506.21,0.133372781,0.309479124,2,3,0,6,4,no,no,16098,78670,24075,7454,7715,7.927476421000001,4.9296406280000005,59.15568754,4.9296406280000005,3.938098723,10.18340185,20.11,0.0,0,2,0,6000000
31,21.0,2.0,9.0,breezeblock,1965.0,1.0,5.0,Beskudnikovskoe,3292112.223,0.06374724799999999,0.09229064199999999,5,5,1,2,2,no,no,9308,44449,19391,4449,4346,1.6962073169999998,0.9087608090000001,9.682227783,0.806852315,5.320820459,12.19932395,11.49,35.3,3,1,0,5200000
51,30.0,4.0,5.0,brick,1956.0,2.0,7.0,Mar'ina Roshha,4684027.803,0.015525088999999999,0.212515361,1,1,3,7,16,no,no,7150,43472,15350,3518,3293,1.763199044,1.237474547,14.84969457,1.237474547,10.34473919,5.670196167,2.66,53.8,11,6,0,9500000
39,19.0,9.0,17.0,panel,1999.0,1.0,8.0,Zjuzino,5391434.257,0.079151397,0.0,5,5,0,2,2,yes,no,14317,78835,29848,6715,6714,2.105574897,1.305220003,15.58669809,1.2988915079999999,7.987229771,10.11612982,10.57,0.0,1,0,0,2000000
47,31.0,13.0,14.0,panel,1972.0,2.0,8.0,Zamoskvorech'e,4280227.098,0.019885461,1.8e-09,4,4,2,5,73,no,no,7561,34380,13649,3344,3681,1.368952565,0.548395825,5.638745429,0.46989545200000005,12.59208704,2.584866922,2.86,3.52,49,4,4,6900000
30,18.0,6.0,9.0,brick,1969.0,1.0,6.0,Dmitrovskoe,7126815.285,0.125881935,0.458174486,4,4,1,5,1,no,no,9604,61600,16509,4533,4439,4.8238059,3.31050207,39.72602484,3.31050207,1.851501162,15.69685223,9.81,30.2,2,5,0,5000000
38,23.0,12.0,12.0,breezeblock,1968.0,2.0,6.0,Caricyno,8287309.438999999,0.07111974900000001,0.265088676,4,5,3,2,0,yes,no,11908,84387,29059,5797,5288,3.3683191010000004,1.5621893180000002,21.82294383,1.818578653,5.528375777000001,14.16028133,10.9,8.36,0,1,0,5800000
32,18.0,2.0,9.0,panel,1967.0,1.0,6.0,Hovrino,5264733.751,0.184282943,0.050755569,4,4,0,1,1,no,no,11356,47628,21807,5195,5469,4.527258748,2.8600242860000002,33.51149604,2.79262467,3.620958023,13.32711681,5.07,4.44,2,0,0,5000000
32,21.0,9.0,9.0,panel,1967.0,1.0,5.0,Lefortovo,8993640.418,0.066940871,0.306977489,4,4,5,7,14,yes,yes,10778,58895,20298,4993,5148,1.784912803,0.8892302809999999,10.67076337,0.8892302809999999,8.027237737,6.058572173,0.0,26.79,2,1,1,5635000
41,28.0,3.0,9.0,brick,1968.0,2.0,5.0,Koptevo,4787424.272,0.03845587,0.12209034699999999,4,6,4,0,7,no,no,13901,59120,23938,6507,6566,3.751582005,2.038789224,23.99962557,1.999968797,7.190818778,9.858931688,18.19,14.8,3,0,0,7400000
51,30.0,12.0,12.0,panel,1978.0,2.0,9.0,Juzhnoe Medvedkovo,3879802.193,0.157331846,0.23220508399999998,4,4,0,3,1,no,yes,10412,52793,18775,4926,4860,2.695505572,2.06840721,24.55004622,2.045837185,3.141127214,12.74316501,24.27,3.78,2,3,0,7000000
52,33.0,3.0,9.0,panel,1970.0,3.0,5.0,Ochakovo-Matveevskoe,17526506.21,0.133372781,0.309479124,2,3,0,6,4,no,no,16098,78670,24075,7454,7715,7.673078661,4.460328659,43.07953256,3.589961047,2.513475257,11.79044823,0.91,35.8,0,0,0,3000000
87,64.0,3.0,5.0,brick,1929.0,4.0,7.0,Mar'ina Roshha,4684027.803,0.015525088999999999,0.212515361,1,1,3,7,16,no,no,7150,43472,15350,3518,3293,1.205565505,0.520348591,6.442904465,0.536908705,12.58321596,3.3497396439999996,14.3,1.42,18,1,4,14400000
43,29.0,2.0,5.0,brick,1961.0,2.0,5.0,Presnenskoe,11638050.15,0.068202173,0.042031587,7,9,2,5,84,yes,no,14906,75357,33017,7125,6856,1.385756517,0.97661805,10.35252645,0.862710537,9.473522572,5.540327821,3.66,13.04,13,2,0,7000000
60,43.0,8.0,9.0,panel,1972.0,3.0,6.0,Teplyj Stan,8392316.21,0.42639629700000004,0.002211665,5,6,1,5,3,yes,no,15541,76776,38079,6980,7614,2.933126763,1.62080346,19.44964152,1.62080346,0.382120981,16.6035465,18.57,31.29,0,2,0,7450000
34,20.0,5.0,9.0,brick,1970.0,2.0,5.0,Gol'janovo,14286990.83,0.389353565,0.194489265,6,7,3,5,3,yes,no,16831,98260,41919,7751,8004,3.828700102,2.7218484660000004,32.6621816,2.7218484660000004,0.7870744759999999,14.75940288,3.57,0.0,1,2,0,4500000
39,18.0,2.0,17.0,panel,2006.0,1.0,10.0,Krjukovo,10842309.74,0.06217241,0.161531741,6,6,2,4,1,no,no,12194,58114,14911,5767,5648,26.35233062,20.81698644,246.8456057,20.57046714,19.01455057,37.16070799,3.83,19.61,1,3,0,3000000
32,20.0,5.0,5.0,panel,1961.0,1.0,5.0,Kuz'minki,7984443.568,0.372734826,0.000995363,8,8,1,5,1,yes,no,16405,93811,32027,7753,7651,2.9158649089999997,1.905157205,18.60376273,1.5503135609999998,2.9206418160000003,11.50283715,33.07,0.0,1,0,1,4000000
56,32.0,1.0,17.0,panel,1987.0,2.0,10.0,Teplyj Stan,8392316.21,0.42639629700000004,0.002211665,5,6,1,5,3,yes,no,15541,76776,38079,6980,7614,1.805796468,1.124383851,12.06799003,1.005665836,1.544058399,15.39651636,45.84,6.38,1,1,0,8700000
76,45.0,3.0,25.0,mass concrete,2009.0,3.0,9.0,Bogorodskoe,8659075.461000001,0.41686645200000005,0.069660344,7,9,1,2,4,yes,no,13897,59366,31147,7103,6119,2.3330500919999997,1.729956527,20.69627931,1.724689942,5.847270381,9.238778186000001,17.03,6.26,0,0,0,9466650
56,37.0,3.0,5.0,breezeblock,1963.0,3.0,5.0,Horoshevo-Mnevniki,18036436.51,0.232080423,0.111627393,4,5,2,3,8,yes,yes,24814,100601,41388,10955,12238,5.107160277,3.533850728,41.73996993,3.4783308269999997,4.7674163730000005,10.65967958,18.51,1.42,4,0,0,9400000
32,18.0,6.0,9.0,panel,1975.0,1.0,5.0,Chertanovo Central'noe,6879019.637999999,0.061476659,0.282797669,5,5,0,6,2,no,no,16719,68254,27248,7104,8667,3.86412259,2.35104588,28.08624534,2.340520445,3.038689841,15.68504208,27.79,0.0,0,0,0,5200000
36,21.0,5.0,9.0,panel,1970.0,1.0,6.0,Gol'janovo,14286990.83,0.389353565,0.194489265,6,7,3,5,3,yes,no,16831,98260,41919,7751,8004,4.410558999,2.909666908,34.91600289,2.909666908,0.739802739,14.7332113,33.46,3.6,0,1,0,5050000
53,32.0,11.0,17.0,panel,2009.0,2.0,9.0,Novo-Peredelkino,8591335.051,0.058543047,0.025609157,7,7,3,1,0,no,no,12244,81271,17508,6354,5261,4.555624116000001,2.54824142,30.18838551,2.5156987930000003,5.760710826,20.25088505,0.81,0.33,0,0,0,8200000
54,36.0,4.0,5.0,panel,1967.0,3.0,5.0,Horoshevo-Mnevniki,18036436.51,0.232080423,0.111627393,4,5,2,3,8,yes,yes,24814,100601,41388,10955,12238,3.937448536,2.334315789,27.54573312,2.29547776,6.355313701,9.089723553999999,7.14,0.0,2,3,0,8200000
44,28.0,2.0,9.0,panel,1978.0,2.0,6.0,Vostochnoe Degunino,3875439.354,0.100505636,0.219006007,4,4,1,4,3,no,no,13938,59008,21618,6222,6746,3.683180665,2.13027439,25.56329268,2.13027439,3.1439062730000003,14.440695999999999,2.36,22.58,3,5,0,6900000
40,20.0,6.0,12.0,panel,1982.0,1.0,8.0,Birjulevo Vostochnoe,14795571.25,0.308056827,0.050900058,6,6,2,3,1,yes,no,21130,93008,30950,9223,10621,8.904942315,6.75127625,79.85025883,6.654188236,0.5229533479999999,19.32216815,11.98,0.0,1,0,0,5970000
35,20.0,2.0,12.0,breezeblock,1967.0,1.0,9.0,Butyrskoe,5027634.0030000005,0.045674312,0.460556389,1,1,1,5,14,no,no,9507,43045,16078,4571,4386,1.97562599,1.013091972,12.15710366,1.013091972,9.7304204,7.0140838510000005,7.56,21.63,3,2,1,5500000
71,43.0,9.0,14.0,panel,1992.0,3.0,9.0,Krjukovo,10842309.74,0.06217241,0.161531741,6,6,2,4,1,no,no,12194,58114,14911,5767,5648,29.38674307,22.6989882,267.9762082,22.33135068,20.40562084,38.55448607,4.22,5.88,0,3,0,8800000
76,45.0,9.0,17.0,panel,1986.0,3.0,10.0,Sviblovo,4441296.195,0.13797573400000002,0.17891679600000002,1,2,1,5,4,no,no,7706,40289,12320,3694,3594,1.482536541,0.62438147,7.492577637999999,0.62438147,4.3768853,11.56147861,9.05,25.8,3,2,0,12800000
46,31.0,8.0,9.0,panel,1968.0,2.0,6.0,Novogireevo,4395332.782,0.063755213,0.038692987000000005,4,4,2,5,1,yes,no,13523,56908,24130,6120,6533,1.2825872740000002,0.696699532,8.360394382,0.696699532,2.0541451680000002,11.67755089,7.04,5.41,0,5,4,6700000
50,30.0,5.0,14.0,breezeblock,1977.0,2.0,9.0,Koptevo,4787424.272,0.03845587,0.12209034699999999,4,6,4,0,7,no,no,13901,59120,23938,6507,6566,0.33651436700000004,0.269211491,2.623570381,0.218630865,5.803071739,11.10357866,14.33,30.72,2,0,0,7200000
39,20.0,13.0,14.0,panel,1988.0,1.0,8.0,Kosino-Uhtomskoe,14883622.34,0.024444186,0.158249043,4,5,1,0,0,yes,no,13954,49242,8935,7567,5731,4.067139182,2.9068618560000004,34.88234227,2.9068618560000004,1.12610591,14.944333199999999,10.53,26.55,0,0,0,6700000
42,24.0,12.0,12.0,panel,1970.0,2.0,5.0,Severnoe Tushino,9249237.174,0.374067926,0.0,5,5,3,5,0,no,no,22961,93843,39573,10190,11319,2.55356734,1.4056812140000001,16.86817457,1.4056812140000001,1.628471824,16.54119891,12.23,0.0,0,2,0,7150000
74,47.0,4.0,5.0,breezeblock,1932.0,3.0,8.0,Krasnosel'skoe,4996777.402,0.011047989,0.246623602,2,6,3,6,45,no,no,5670,30314,11261,2287,2940,0.5145304820000001,0.317990973,3.815891674,0.317990973,12.95770263,2.149606437,5.37,0.0,72,4,7,18000000
41,17.0,11.0,17.0,panel,2004.0,1.0,7.0,Birjulevo Zapadnoe,8464344.053,0.075206255,0.521867054,4,4,0,0,0,yes,no,12273,54914,18534,5226,6149,7.100929853999999,4.919944678,58.96056639,4.913380532,1.9896301619999999,17.53173803,4.67,51.42,0,0,0,4850000
37,19.0,16.0,17.0,panel,1985.0,1.0,8.0,Ramenki,18800000.1,0.16962541899999997,0.019508796000000002,8,8,5,5,11,yes,no,16928,79011,29172,8371,7687,1.900011572,1.027759654,12.33311585,1.027759654,4.66951775,9.949127172999999,33.12,0.0,1,2,0,7400000
58,33.0,17.0,17.0,panel,1995.0,2.0,10.0,Caricyno,8287309.438999999,0.07111974900000001,0.265088676,4,5,3,2,0,yes,no,11908,84387,29059,5797,5288,1.1298888390000001,0.765750495,9.189005935,0.765750495,6.858234147,12.76587772,7.3,46.1,1,1,0,8100000
44,23.0,7.0,14.0,brick,1970.0,2.0,8.0,Savelki,7759253.984,0.278314608,0.14890389099999998,3,3,3,2,1,no,no,4100,19960,8011,1888,1952,27.33715417,23.29621053,296.2372165,24.68643471,17.97810825,36.10005071,44.05,0.0,0,0,1,6500000
32,21.0,9.0,9.0,breezeblock,1964.0,1.0,5.0,Donskoe,5686537.395,0.073520961,0.0006991189999999999,1,2,0,3,24,yes,no,7033,28737,12669,3229,3369,1.7197928390000001,1.077421182,12.92905418,1.077421182,11.749033,4.1367032319999995,17.65,0.21,12,3,1,7000000
53,32.0,8.0,9.0,panel,1999.0,2.0,9.0,Juzhnoe Butovo,26155137.04,0.137846204,0.041116354,11,13,1,4,4,no,no,30808,121369,26087,14080,14892,1.71543291,1.042508136,12.51009763,1.042508136,5.8943151060000005,24.36607709,30.83,0.0,0,0,0,3000000
51,29.0,12.0,12.0,panel,1982.0,2.0,8.0,Birjulevo Vostochnoe,14795571.25,0.308056827,0.050900058,6,6,2,3,1,yes,no,21130,93008,30950,9223,10621,8.239446886,8.688478268999999,76.62936657,6.385780548,0.169847534,19.75956921,20.23,0.0,1,0,0,6600000
34,19.0,9.0,9.0,panel,1977.0,1.0,6.0,Orehovo-Borisovo Juzhnoe,7128794.3379999995,0.075790042,0.100455735,7,7,1,6,0,no,no,13595,104635,27346,5594,7227,2.190192675,1.283847022,15.40616426,1.283847022,1.265127578,17.35183402,2.09,16.91,0,3,0,5600000
55,39.0,2.0,4.0,brick,1959.0,2.0,6.0,Sviblovo,4441296.195,0.13797573400000002,0.17891679600000002,1,2,1,5,4,no,no,7706,40289,12320,3694,3594,1.4754131730000002,1.058296006,10.50019385,0.8750161540000001,5.2466064260000005,10.67397774,5.76,32.76,5,4,0,9500000
41,25.0,4.0,4.0,brick,1963.0,2.0,5.0,Novo-Peredelkino,8591335.051,0.058543047,0.025609157,7,7,3,1,0,no,no,12244,81271,17508,6354,5261,5.739785023,3.7932576460000003,44.68824827,3.7240206889999996,3.664268475,18.13057617,33.86,16.69,0,0,0,4500000
41,26.0,5.0,5.0,panel,1965.0,2.0,8.0,Severnoe Izmajlovo,4190070.548,0.051566848,0.034331497,6,7,0,4,3,no,no,11746,49742,23595,5586,5487,3.4689538680000003,2.334817815,28.01781378,2.334817815,0.885856194,14.04112946,14.74,4.9,2,0,0,5400000
39,21.0,12.0,12.0,panel,1981.0,1.0,8.0,Severnoe Tushino,9249237.174,0.374067926,0.0,5,5,3,5,0,no,no,22961,93843,39573,10190,11319,2.490957092,1.852795989,20.47702367,1.706418639,1.487225351,16.56351306,7.59,0.0,0,1,1,6448000
64,43.0,11.0,12.0,panel,1974.0,3.0,6.0,Orehovo-Borisovo Juzhnoe,7128794.3379999995,0.075790042,0.100455735,7,7,1,6,0,no,no,13595,104635,27346,5594,7227,2.786497863,0.952363455,6.072292641000001,0.5060243870000001,1.777636953,16.99131429,0.11,6.17,0,4,0,8400000
44,27.0,9.0,9.0,panel,1969.0,2.0,6.0,Severnoe Medvedkovo,5725729.259,0.141280723,0.175054867,4,4,1,0,3,yes,no,19487,77062,26324,8132,10055,0.8741015329999999,0.40599814100000003,4.871977697,0.40599814100000003,0.920199076,15.01724163,17.79,2.91,0,0,0,6800000
51,30.0,4.0,17.0,panel,2004.0,2.0,9.0,Zapadnoe Degunino,7632939.805,0.051843747999999995,0.43788524,3,3,0,5,3,yes,no,11996,51138,15676,5519,5735,5.6160801739999995,3.028010642,32.66163336,2.72180278,2.443422635,14.51489753,11.53,14.1,0,1,0,2000000
35,20.0,4.0,12.0,breezeblock,1966.0,1.0,9.0,Kotlovka,3998216.265,0.25871247199999997,0.014423113999999999,1,1,0,3,4,no,no,8284,41476,14557,3977,3806,1.331431434,0.8567384,10.28086081,0.8567384,10.29218972,6.697056355,6.45,5.22,1,2,0,6800000
47,31.0,2.0,9.0,panel,1970.0,2.0,6.0,Vostochnoe Degunino,3875439.354,0.100505636,0.219006007,4,4,1,4,3,no,no,13938,59008,21618,6222,6746,2.136392409,1.542067843,17.28191219,1.440159349,5.236391294,12.32135593,7.87,35.91,2,1,0,6950000
21,13.0,5.0,9.0,brick,1972.0,1.0,3.0,Severnoe Medvedkovo,5725729.259,0.141280723,0.175054867,4,4,1,0,3,yes,no,19487,77062,26324,8132,10055,0.49358482,0.155480295,1.865763535,0.155480295,1.003133607,14.89732461,17.99,0.3,0,0,0,4600000
75,45.0,18.0,18.0,panel,1998.0,3.0,9.0,Mar'ino,11754772.16,0.188712765,0.090799103,13,14,5,15,2,no,yes,40692,161290,45487,19223,19083,1.5215649969999998,0.9602908029999999,10.58350329,0.8819586070000001,4.079986777,13.37973279,17.78,0.0,0,6,0,10800000
38,20.0,3.0,12.0,panel,1981.0,1.0,8.0,Kapotnja,8097031.584,0.10913530699999999,0.407276235,2,2,0,0,0,no,no,3687,20975,6505,1683,1768,9.823346213999999,9.959567102000001,93.54012027,7.7950100220000005,0.202229932,17.33792037,14.51,0.0,0,0,0,4450000
36,14.0,4.0,12.0,panel,2000.0,1.0,9.0,Juzhnoe Butovo,26155137.04,0.137846204,0.041116354,11,13,1,4,4,no,no,30808,121369,26087,14080,14892,1.471789906,1.177431927,14.12918312,1.177431927,3.796611598,22.71535183,9.63,0.46,0,0,0,5750000
56,41.0,3.0,9.0,brick,1966.0,3.0,5.0,Begovoe,4048456.7819999997,0.001879375,0.327018035,3,5,1,0,23,no,no,4842,25933,10729,2263,2270,1.0296855809999998,0.7229201259999999,,,12.279808000000001,4.595453123,2.3,23.38,23,1,0,7000000
60,44.0,4.0,9.0,panel,1971.0,3.0,6.0,Veshnjaki,10518366.87,0.334905313,0.012338886,6,7,2,4,1,no,no,11729,74032,33184,5208,5776,3.357483342,2.562280454,19.50558416,1.6254653469999998,0.626327442,13.20923971,6.76,0.0,0,3,1,7900000
32,19.0,1.0,4.0,brick,1969.0,1.0,6.0,Solncevo,11324091.93,0.083809588,0.371148999,5,5,2,5,1,no,no,16287,75334,22276,8340,7065,1.717175875,1.2122866959999998,14.09851888,1.174876573,2.655882411,17.3728032,21.52,21.23,1,2,1,3750000
36,20.0,8.0,12.0,panel,1968.0,1.0,9.0,Kotlovka,3998216.265,0.25871247199999997,0.014423113999999999,1,1,0,3,4,no,no,8284,41476,14557,3977,3806,2.6355091180000003,1.5513862319999998,13.14013587,1.095011323,10.05164417,7.893420588,12.54,26.77,3,0,1,7000000
47,30.0,11.0,12.0,panel,1975.0,2.0,6.0,Otradnoe,10053051.74,0.09627019699999999,0.300322518,4,4,1,9,6,yes,no,21400,112133,41985,9753,10311,2.090982549,1.263831967,15.21783111,1.268152592,3.1652956480000003,13.1180717,9.84,11.46,0,2,0,7600000
48,19.0,7.0,29.0,mass concrete,2013.0,1.0,10.0,Bogorodskoe,8659075.461000001,0.41686645200000005,0.069660344,7,9,1,2,4,yes,no,13897,59366,31147,7103,6119,3.950763968,2.481552445,29.71543032,2.47628586,6.165081667999999,8.967073436,40.81,2.95,3,0,0,4400000
47,30.0,7.0,12.0,panel,1979.0,2.0,6.0,Otradnoe,10053051.74,0.09627019699999999,0.300322518,4,4,1,9,6,yes,no,21400,112133,41985,9753,10311,3.6291416360000004,2.509659541,23.12462954,1.9270524619999998,3.6110596160000004,13.30480651,3.86,26.5,4,2,0,7000000
65,39.0,2.0,12.0,panel,1975.0,3.0,7.0,Bibirevo,6407578.1,0.189727117,6.99893e-05,5,5,1,16,1,no,no,21154,98207,36211,9576,10309,2.059597545,1.186452125,14.2374255,1.186452125,1.769761446,15.00060189,5.14,3.56,3,8,0,9250000
67,47.0,5.0,8.0,brick,1956.0,3.0,7.0,Dorogomilovo,7798452.185,0.199430788,0.081943463,5,7,1,4,20,yes,no,5739,43413,18558,2621,2738,1.253999691,1.134643545,9.97401306,0.831167755,8.448143549,5.81489856,14.12,8.94,6,3,1,16000000
36,17.0,7.0,16.0,brick,1985.0,1.0,9.0,Solncevo,11324091.93,0.083809588,0.371148999,5,5,2,5,1,no,no,16287,75334,22276,8340,7065,0.864638592,0.6601326820000001,7.921592177999999,0.6601326820000001,3.4180731860000004,18.20886352,10.09,38.22,0,0,1,2000000
